ASIGNATURA;2017 1;2017 2;2018 1;2018 2;2019 1;2019 2;2020 1;2020 2;2021 1;2021 2;2022 1;2022 2;2023 1;2023 2;2024 1;CICLOS;AREAS
INTELIGENCIA ARTIFICIAL;2,1%;1,4%;0,0%;0,4%;0,3%;0,3%;0,0%;1,7%;1,5%;2,3%;3,8%;1,1%;0,6%;0,6%;0,6%;Ciclo de profundizacion;Ingenieria aplicada
INTELIGENCIA DE NEGOCIOS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INTRODUCCION A LA INGENIERIA;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INTRODUCCION A LA INGENIERIA DE SISTEMAS;3,1%;1,6%;0,0%;1,1%;0,7%;1,1%;4,1%;1,3%;6,7%;2,5%;1,0%;2,0%;1,6%;0,9%;0,6%;Ciclo basico ingenieria;Ingenieria aplicada
INVESTIGACION DE OPERACION II;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;;
INVESTIGACION DE OPERACIONES;0,6%;1,0%;0,0%;1,0%;1,4%;2,4%;0,0%;0,8%;3,1%;0,8%;2,1%;0,7%;3,9%;0,1%;0,0%;Ciclo de profundizacion;Ciencias basicas de la ingenieria
INVESTIGACION DE OPERACIONES I;0,0%;0,0%;0,0%;0,3%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,6%;;
LEGISLACION;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
LEGISLACION DE SISTEMAS;0,0%;0,0%;0,0%;0,6%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,2%;0,0%;0,0%;Ciclo profesional;Ingenieria aplicada
LENGUA EXTRAJERA II (LECTURA);0,0%;0,0%;0,0%;0,0%;0,1%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,0%;2,4%;Ciclo basico ingenieria;Formacion complementaria
LENGUA EXTRAJERA IV (CONVERSACION);0,0%;0,0%;0,0%;0,4%;0,3%;0,1%;0,4%;1,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,8%;Ciclo de profundizacion;Formacion complementaria
LENGUA EXTRANJERA CONVERSACION;0,3%;0,2%;0,0%;0,0%;0,2%;0,1%;0,0%;1,3%;1,0%;0,4%;1,0%;0,7%;0,6%;0,4%;0,3%;;
LENGUA EXTRANJERA I (GRAMATICA);0,0%;0,0%;0,0%;0,0%;0,6%;0,2%;2,0%;1,7%;0,0%;0,0%;0,0%;0,0%;0,0%;3,3%;1,2%;Ciclo basico ingenieria;Formacion complementaria
LENGUA EXTRANJERA III (ESCRITURA);0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,4%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;1,4%;Ciclo basico ingenieria;Formacion complementaria
LENGUA EXTRANJERA-ESCRITURA;0,1%;0,5%;0,0%;0,6%;0,0%;0,1%;0,0%;0,5%;0,0%;0,8%;1,0%;0,9%;1,3%;0,4%;0,9%;;
LENGUA EXTRANJERA-GRAMATICA;1,3%;1,1%;0,0%;1,6%;0,7%;1,1%;2,0%;1,1%;5,1%;1,4%;2,3%;1,2%;0,6%;0,1%;0,0%;;
LENGUA EXTRANJERA-LECTURA;0,6%;0,4%;0,0%;0,6%;0,2%;0,1%;0,0%;0,5%;0,5%;0,6%;1,0%;0,4%;0,2%;0,2%;0,2%;;
LENGUAJE DE BAJO NIVEL;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
LOGICA DIGITAL;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;;
LOGICA MATEMATICA;0,0%;0,0%;0,0%;1,6%;3,3%;2,4%;1,6%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;2,3%;3,5%;;
LOGICA, CONJUNTOS Y GRAFOS;5,4%;3,8%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
MATEMATICA FINANCIERA;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;;
MATEMATICAS DISCRETAS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,2%;0,0%;0,1%;0,0%;0,0%;0,5%;Ciclo basico ingenieria;Ciencias basicas
MECANICA;5,9%;5,7%;0,0%;4,1%;3,4%;1,7%;1,2%;1,9%;2,6%;4,1%;1,7%;3,1%;2,1%;3,3%;1,4%;Ciclo basico ingenieria;Ciencias basicas
METODOLOGIA DE INVESTIGACION;0,2%;0,0%;0,0%;0,0%;0,2%;1,4%;4,9%;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;0,0%;Ciclo de profundizacion;Formacion Investigativa
METODOLOGIA DE LA INVESTIGACION;0,2%;0,1%;0,0%;0,1%;0,0%;0,3%;0,0%;0,2%;1,5%;2,7%;2,3%;1,3%;0,3%;1,9%;1,6%;;
MINERIA DE DATOS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;;
